conferenceID,conferenceRef,name,year,edition,conProIds,proceedingTitle
c206,194605.0,"2023 Innovative Solutions for the Development of the Industry, Agro-Bio-Technologies 2023",2023.0,1.0,cp206,proceeding206
c207,191176.0,"Special Interest Group on Computer Graphics and Interactive Techniques Conference - Courses, SIGGRAPH 2023",2023.0,1.0,cp207,proceeding207
c208,190907.0,"2023 Special Interest Group on Computer Graphics and Interactive Techniques Conference, SIGGRAPH 2023",2023.0,1.0,cp208,proceeding208
c209,191433.0,"2023 International Conference on Robotics, Control and Vision Engineering, RCVE 2023",2023.0,1.0,cp209,proceeding209
c210,190952.0,"4th International Conference on Modern Management Based on Big Data, MMBD 2023",2023.0,1.0,cp210,proceeding210
c211,191200.0,"Special Interest Group on Computer Graphics and Interactive Techniques Conference - Posters, SIGGRAPH 2023",2023.0,1.0,cp211,proceeding211
c212,190903.0,"12th International Meeting on Advances in Thermofluids, IMAT 2021",2021.0,1.0,cp212,proceeding212
c213,190756.0,"2023 International Scientific Siberian Transport Forum, TransSiberia 2023",2023.0,1.0,cp213,proceeding213
c214,190882.0,"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023",2023.0,1.0,cp214,proceeding214
c215,190922.0,"2023 ACM Workshop on Highlights of Parallel Computing, HOPC 2023",2023.0,1.0,cp215,proceeding215
c216,193911.0,"6th International Conference on Signal Processing and Machine Learning, SPML 2023",2023.0,1.0,cp216,proceeding216
c217,190701.0,"2023 ACM Designing Interactive Systems Conference, DIS 2023 Companion",2023.0,1.0,cp217,proceeding217
c218,190710.0,"32nd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2023",2023.0,1.0,cp218,proceeding218
c219,190597.0,"24th Annual International Conference on Digital Government Research - Together in the Unstable World: Digital Government and Solidarity, DGO 2023",2023.0,1.0,cp219,proceeding219
c220,197353.0,"3rd International Conference on Robotics and Artificial Intelligence, JCRAI 2023",2023.0,1.0,cp220,proceeding220
c221,191640.0,"16th ACM International Conference on PErvasive Technologies Related to Assistive Environments, PETRA 2023",2023.0,1.0,cp221,proceeding221
